128,2024-07-10T14:50:17.655+0900,-0.139,0.046,9.736
128,2024-07-10T14:50:17.694+0900,-0.122,0.048,9.739
128,2024-07-10T14:50:17.700+0900,-0.132,0.051,9.734
128,2024-07-10T14:50:17.711+0900,-0.137,0.041,9.734
128,2024-07-10T14:50:17.745+0900,-0.139,0.044,9.734
128,2024-07-10T14:50:17.751+0900,-0.130,0.041,9.744
128,2024-07-10T14:50:17.778+0900,-0.125,0.051,9.739
128,2024-07-10T14:50:17.783+0900,-0.146,0.044,9.739
128,2024-07-10T14:50:17.809+0900,-0.130,0.053,9.734
128,2024-07-10T14:50:17.840+0900,-0.127,0.051,9.734
128,2024-07-10T14:50:17.847+0900,-0.127,0.046,9.732
128,2024-07-10T14:50:17.868+0900,-0.132,0.046,9.729
128,2024-07-10T14:50:17.913+0900,-0.137,0.041,9.720
128,2024-07-10T14:50:17.921+0900,-0.134,0.056,9.712
128,2024-07-10T14:50:17.931+0900,-0.132,0.036,9.722
128,2024-07-10T14:50:17.964+0900,-0.142,0.041,9.727
128,2024-07-10T14:50:17.972+0900,-0.137,0.046,9.724
128,2024-07-10T14:50:18.011+0900,-0.120,0.046,9.724
128,2024-07-10T14:50:18.020+0900,-0.139,0.044,9.722
128,2024-07-10T14:50:18.024+0900,-0.137,0.046,9.710
128,2024-07-10T14:50:18.052+0900,-0.139,0.046,9.700
128,2024-07-10T14:50:18.102+0900,-0.130,0.058,9.708
128,2024-07-10T14:50:18.111+0900,-0.142,0.036,9.705
128,2024-07-10T14:50:18.115+0900,-0.139,0.044,9.696
128,2024-07-10T14:50:18.118+0900,-0.134,0.041,9.698
128,2024-07-10T14:50:18.146+0900,-0.134,0.044,9.705
128,2024-07-10T14:50:18.178+0900,-0.132,0.039,9.698
128,2024-07-10T14:50:18.186+0900,-0.142,0.041,9.700
128,2024-07-10T14:50:18.209+0900,-0.127,0.048,9.700
128,2024-07-10T14:50:18.240+0900,-0.137,0.053,9.696
128,2024-07-10T14:50:18.247+0900,-0.142,0.041,9.696
128,2024-07-10T14:50:18.268+0900,-0.134,0.039,9.698
128,2024-07-10T14:50:18.316+0900,-0.137,0.044,9.696
128,2024-07-10T14:50:18.324+0900,-0.127,0.044,9.696
128,2024-07-10T14:50:18.332+0900,-0.137,0.044,9.691
128,2024-07-10T14:50:18.360+0900,-0.139,0.046,9.693
128,2024-07-10T14:50:18.365+0900,-0.134,0.044,9.696
128,2024-07-10T14:50:18.392+0900,-0.134,0.046,9.700
128,2024-07-10T14:50:18.424+0900,-0.149,0.048,9.698
128,2024-07-10T14:50:18.431+0900,-0.139,0.032,9.691
128,2024-07-10T14:50:18.454+0900,-0.139,0.046,9.691
128,2024-07-10T14:50:18.462+0900,-0.144,0.046,9.700
128,2024-07-10T14:50:18.490+0900,-0.142,0.048,9.691
128,2024-07-10T14:50:18.513+0900,-0.139,0.044,9.698
128,2024-07-10T14:50:18.521+0900,-0.122,0.044,9.693
128,2024-07-10T14:50:18.545+0900,-0.139,0.051,9.693
128,2024-07-10T14:50:18.578+0900,-0.127,0.044,9.691
128,2024-07-10T14:50:18.585+0900,-0.132,0.048,9.696
128,2024-07-10T14:50:18.607+0900,-0.134,0.053,9.698
128,2024-07-10T14:50:18.639+0900,-0.137,0.046,9.691
128,2024-07-10T14:50:18.646+0900,-0.130,0.053,9.691
128,2024-07-10T14:50:18.671+0900,-0.132,0.044,9.703
128,2024-07-10T14:50:18.706+0900,-0.149,0.036,9.693
128,2024-07-10T14:50:18.715+0900,-0.139,0.044,9.696
128,2024-07-10T14:50:18.731+0900,-0.132,0.039,9.700
128,2024-07-10T14:50:18.762+0900,-0.132,0.048,9.696
