128,2024-07-10T17:50:31.884+0900,-1,409.184,240.616,355.396
128,2024-07-10T17:50:32.085+0900,-1,410.237,245.563,355.110
128,2024-07-10T17:50:32.286+0900,-1,410.237,245.563,355.110
128,2024-07-10T17:50:32.488+0900,-1,410.188,243.997,355.725
128,2024-07-10T17:50:32.692+0900,-1,408.893,216.267,360.904
128,2024-07-10T17:50:32.890+0900,-1,408.968,226.094,358.788
128,2024-07-10T17:50:33.095+0900,-1,409.543,208.028,362.827
128,2024-07-10T17:50:33.297+0900,-1,408.177,192.798,365.277
128,2024-07-10T17:50:33.514+0900,-1,408.853,207.558,361.929
128,2024-07-10T17:50:33.715+0900,-1,408.853,207.558,361.929
128,2024-07-10T17:50:33.914+0900,-1,408.853,207.558,361.929
128,2024-07-10T17:50:34.118+0900,-1,408.853,207.558,361.929
128,2024-07-10T17:50:34.315+0900,-1,409.103,230.565,357.846
128,2024-07-10T17:50:34.515+0900,-1,409.103,230.565,357.846
128,2024-07-10T17:50:34.714+0900,-1,409.637,225.893,358.684
